946 10000
AND 2 1
SET 1 42
FLIP 1 583
FLIP 1 299
SET 1 699
AND 1 2
AND 1 2
XOR 1 2
XOR 1 2
SET 2 535
OR 1 2
FLIP 2 553
XOR 1 2
FLIP 1 254
OR 1 2
AND 2 1
OR 2 1
XOR 2 1
XOR 2 1
SET 2 489
FLIP 2 140
FLIP 1 655
AND 2 1
XOR 1 2
AND 1 2
SET 1 486
XOR 1 2
XOR 1 2
XOR 1 2
XOR 2 1
FLIP 1 607
OR 1 2
SET 1 414
OR 2 1
OR 2 1
FLIP 2 686
OR 1 2
XOR 2 1
SET 2 41
SET 2 345
AND 1 2
FLIP 1 100
FLIP 1 411
FLIP 2 635
XOR 1 2
XOR 1 2
SET 1 193
XOR 2 1
OR 2 1
SET 1 727
FLIP 2 109
FLIP 2 610
AND 2 1
FLIP 2 758
XOR 1 2
FLIP 1 634
FLIP 1 728
AND 2 1
XOR 2 1
AND 1 2
XOR 2 1
XOR 2 1
XOR 1 2
SET 2 353
AND 1 2
SET 2 19
OR 2 1
FLIP 2 14
AND 2 1
XOR 2 1
FLIP 1 141
SET 2 591
SET 1 748
OR 1 2
AND 1 2
SET 2 338
SET 2 662
OR 1 2
SET 2 178
SET 2 126
XOR 2 1
AND 1 2
OR 1 2
XOR 2 1
XOR 1 2
AND 2 1
XOR 1 2
SET 2 328
FLIP 1 111
OR 1 2
SET 1 719
FLIP 1 345
FLIP 2 462
XOR 2 1
AND 1 2
SET 2 49
FLIP 2 218
FLIP 2 1
OR 1 2
XOR 1 2
FLIP 1 264
SET 1 526
FLIP 1 333
FLIP 2 513
SET 1 597
AND 2 1
XOR 2 1
SET 2 237
OR 2 1
OR 1 2
FLIP 2 488
AND 1 2
SET 1 610
OR 1 2
OR 1 2
OR 2 1
OR 2 1
OR 2 1
SET 2 318
FLIP 2 261
OR 1 2
FLIP 1 777
OR 1 2
AND 1 2
AND 1 2
XOR 1 2
SET 1 45
AND 2 1
SET 1 576
XOR 1 2
XOR 2 1
AND 1 2
OR 2 1
OR 2 1
SET 1 933
XOR 1 2
AND 1 2
OR 1 2
FLIP 1 717
FLIP 1 688
OR 1 2
SET 1 363
FLIP 2 884
FLIP 2 541
XOR 2 1
FLIP 1 645
FLIP 1 455
XOR 1 2
SET 2 790
FLIP 2 884
AND 2 1
SET 2 471
AND 2 1
SET 2 394
AND 1 2
XOR 1 2
AND 1 2
FLIP 2 677
SET 1 266
SET 1 808
OR 1 2
AND 1 2
FLIP 2 435
XOR 2 1
OR 1 2
SET 1 547
FLIP 2 171
OR 2 1
SET 2 886
OR 2 1
XOR 2 1
OR 2 1
AND 2 1
SET 1 362
SET 1 757
XOR 2 1
SET 2 879
XOR 1 2
AND 2 1
OR 2 1
XOR 2 1
FLIP 2 49
XOR 1 2
XOR 1 2
XOR 2 1
AND 2 1
AND 2 1
SET 2 589
XOR 2 1
XOR 2 1
SET 2 449
AND 1 2
SET 2 806
SET 2 525
SET 1 673
SET 1 122
SET 2 625
FLIP 1 657
XOR 1 2
OR 1 2
XOR 1 2
FLIP 2 85
XOR 2 1
XOR 2 1
OR 2 1
OR 2 1
FLIP 1 857
XOR 2 1
XOR 2 1
FLIP 2 117
XOR 2 1
SET 1 805
OR 2 1
XOR 2 1
OR 2 1
SET 1 199
SET 2 406
OR 2 1
FLIP 2 34
FLIP 1 675
FLIP 2 294
FLIP 2 507
FLIP 2 165
SET 1 926
FLIP 1 768
AND 1 2
OR 2 1
XOR 2 1
SET 1 634
XOR 2 1
XOR 1 2
SET 2 669
XOR 2 1
XOR 1 2
AND 2 1
AND 2 1
XOR 2 1
FLIP 1 44
SET 1 890
AND 1 2
AND 1 2
AND 1 2
AND 2 1
OR 2 1
SET 2 272
XOR 2 1
SET 2 522
FLIP 2 223
XOR 1 2
AND 2 1
XOR 1 2
XOR 2 1
OR 1 2
SET 2 775
FLIP 2 193
FLIP 1 202
FLIP 1 932
FLIP 1 274
AND 2 1
FLIP 2 497
SET 2 562
OR 1 2
SET 1 705
SET 1 190
FLIP 2 203
SET 1 846
AND 2 1
OR 2 1
AND 1 2
OR 2 1
XOR 2 1
SET 2 287
XOR 2 1
XOR 2 1
SET 2 716
OR 1 2
XOR 2 1
FLIP 1 213
OR 1 2
SET 1 806
AND 2 1
SET 2 774
OR 1 2
OR 2 1
SET 1 110
AND 2 1
FLIP 1 85
SET 1 505
FLIP 2 74
OR 1 2
FLIP 1 569
XOR 2 1
AND 2 1
OR 2 1
SET 1 539
FLIP 2 911
FLIP 2 258
AND 1 2
FLIP 2 23
SET 2 107
SET 2 10
AND 2 1
OR 2 1
FLIP 2 166
FLIP 1 535
AND 2 1
FLIP 1 131
AND 2 1
FLIP 1 513
SET 2 392
OR 2 1
OR 1 2
XOR 2 1
FLIP 1 290
FLIP 1 874
AND 1 2
XOR 2 1
XOR 2 1
OR 2 1
AND 1 2
SET 1 415
XOR 1 2
SET 2 385
AND 1 2
XOR 2 1
SET 1 49
XOR 1 2
FLIP 2 665
OR 1 2
XOR 2 1
SET 2 110
FLIP 1 602
FLIP 2 876
AND 1 2
AND 2 1
SET 1 15
OR 1 2
XOR 1 2
AND 2 1
XOR 2 1
OR 2 1
OR 2 1
OR 2 1
AND 2 1
AND 1 2
AND 1 2
XOR 2 1
SET 1 728
XOR 2 1
AND 2 1
SET 1 350
SET 1 79
SET 2 380
OR 1 2
FLIP 2 871
FLIP 1 632
AND 1 2
AND 2 1
OR 2 1
XOR 2 1
SET 1 93
XOR 1 2
XOR 2 1
OR 1 2
OR 1 2
AND 2 1
OR 2 1
FLIP 1 615
OR 1 2
AND 1 2
OR 1 2
SET 1 77
SET 2 774
SET 2 429
AND 2 1
FLIP 2 290
XOR 1 2
SET 1 745
OR 1 2
AND 1 2
AND 2 1
OR 2 1
SET 2 696
OR 2 1
FLIP 2 133
SET 1 512
SET 1 874
XOR 1 2
FLIP 2 519
FLIP 1 897
SET 2 761
XOR 2 1
FLIP 1 675
XOR 1 2
AND 1 2
XOR 2 1
FLIP 2 457
SET 2 214
OR 1 2
FLIP 1 814
FLIP 2 926
XOR 2 1
OR 2 1
FLIP 1 793
OR 2 1
SET 1 756
XOR 1 2
XOR 2 1
AND 1 2
XOR 2 1
AND 1 2
FLIP 2 20
XOR 1 2
SET 2 874
AND 1 2
XOR 2 1
SET 2 587
FLIP 2 739
FLIP 2 64
OR 1 2
FLIP 2 431
AND 2 1
FLIP 2 40
OR 2 1
XOR 1 2
XOR 2 1
SET 2 930
SET 1 819
XOR 1 2
SET 1 927
FLIP 2 466
OR 2 1
SET 2 351
SET 2 679
FLIP 1 472
SET 2 208
SET 2 617
OR 2 1
AND 2 1
SET 1 722
AND 2 1
AND 1 2
AND 2 1
OR 1 2
XOR 1 2
XOR 1 2
XOR 2 1
XOR 2 1
AND 1 2
SET 1 135
OR 2 1
XOR 2 1
AND 1 2
FLIP 2 785
OR 1 2
SET 1 488
AND 2 1
FLIP 1 14
AND 2 1
AND 1 2
XOR 1 2
AND 2 1
OR 2 1
FLIP 2 3
XOR 2 1
XOR 2 1
FLIP 1 654
AND 2 1
OR 1 2
XOR 1 2
SET 1 178
XOR 1 2
AND 2 1
XOR 2 1
FLIP 1 329
XOR 1 2
XOR 1 2
SET 1 520
OR 1 2
OR 2 1
FLIP 1 639
FLIP 2 561
XOR 1 2
AND 2 1
OR 2 1
SET 2 623
SET 1 692
XOR 2 1
AND 1 2
OR 2 1
FLIP 2 192
OR 2 1
XOR 2 1
OR 2 1
FLIP 2 561
AND 2 1
OR 2 1
FLIP 2 150
AND 1 2
SET 2 128
XOR 2 1
FLIP 1 326
FLIP 2 756
FLIP 2 345
AND 1 2
AND 1 2
XOR 2 1
OR 2 1
SET 1 361
OR 2 1
AND 1 2
AND 1 2
OR 2 1
OR 2 1
XOR 1 2
SET 2 531
OR 1 2
XOR 2 1
SET 1 348
FLIP 2 373
XOR 2 1
OR 1 2
FLIP 2 694
OR 1 2
XOR 2 1
FLIP 2 544
OR 1 2
AND 1 2
OR 1 2
XOR 1 2
FLIP 2 391
FLIP 1 367
XOR 1 2
FLIP 1 781
AND 2 1
OR 1 2
XOR 2 1
AND 1 2
AND 1 2
OR 1 2
FLIP 2 545
AND 1 2
OR 1 2
SET 1 427
AND 1 2
FLIP 2 295
OR 1 2
AND 1 2
XOR 2 1
OR 2 1
OR 1 2
SET 1 923
SET 2 485
OR 2 1
XOR 2 1
OR 2 1
SET 1 759
SET 1 796
XOR 2 1
AND 2 1
FLIP 1 730
FLIP 1 575
SET 2 65
OR 1 2
XOR 1 2
FLIP 2 471
FLIP 2 241
XOR 1 2
OR 1 2
AND 1 2
XOR 1 2
OR 2 1
AND 1 2
AND 1 2
OR 2 1
SET 2 177
SET 1 895
SET 2 582
FLIP 1 371
OR 2 1
FLIP 2 228
SET 2 444
XOR 2 1
FLIP 2 914
AND 2 1
SET 1 396
XOR 2 1
XOR 1 2
XOR 1 2
XOR 1 2
XOR 2 1
XOR 1 2
SET 1 101
AND 1 2
OR 2 1
FLIP 1 340
FLIP 2 772
OR 2 1
AND 2 1
SET 1 232
FLIP 2 113
FLIP 1 582
FLIP 2 286
OR 1 2
OR 1 2
OR 2 1
AND 1 2
OR 2 1
OR 1 2
OR 1 2
OR 2 1
XOR 2 1
FLIP 2 709
OR 2 1
OR 2 1
OR 1 2
SET 2 122
AND 2 1
FLIP 1 693
XOR 1 2
FLIP 1 125
OR 2 1
FLIP 1 408
SET 2 237
FLIP 2 251
AND 1 2
OR 2 1
OR 2 1
SET 2 212
SET 2 871
SET 2 213
XOR 1 2
AND 2 1
AND 2 1
OR 2 1
AND 1 2
SET 2 831
AND 1 2
FLIP 1 71
FLIP 2 483
SET 1 591
AND 2 1
FLIP 1 822
OR 1 2
AND 2 1
OR 2 1
XOR 1 2
AND 1 2
OR 2 1
AND 1 2
FLIP 2 120
AND 2 1
AND 2 1
OR 1 2
SET 2 507
OR 1 2
XOR 1 2
FLIP 2 433
SET 2 21
AND 2 1
XOR 1 2
XOR 2 1
SET 2 602
FLIP 2 356
SET 2 790
OR 2 1
SET 1 838
FLIP 2 728
FLIP 1 215
AND 2 1
XOR 1 2
FLIP 1 564
SET 1 482
XOR 2 1
OR 1 2
AND 1 2
FLIP 2 41
XOR 2 1
SET 2 945
AND 1 2
SET 2 120
AND 1 2
XOR 2 1
XOR 2 1
SET 2 242
FLIP 1 157
XOR 1 2
AND 2 1
SET 1 913
OR 1 2
FLIP 1 675
SET 2 846
FLIP 2 747
FLIP 2 234
AND 1 2
SET 1 205
FLIP 1 244
AND 2 1
AND 2 1
FLIP 1 756
SET 2 700
SET 2 103
OR 1 2
FLIP 2 493
OR 1 2
XOR 1 2
FLIP 2 505
SET 2 440
FLIP 2 562
AND 1 2
XOR 1 2
AND 2 1
SET 1 15
OR 2 1
SET 1 88
SET 1 154
AND 2 1
AND 2 1
FLIP 2 545
FLIP 2 97
XOR 1 2
FLIP 2 70
SET 1 97
FLIP 2 551
FLIP 1 443
AND 2 1
XOR 2 1
AND 2 1
OR 1 2
SET 2 829
AND 1 2
FLIP 2 308
FLIP 1 685
OR 2 1
AND 1 2
XOR 1 2
SET 1 896
AND 2 1
OR 2 1
AND 2 1
OR 2 1
FLIP 1 328
XOR 1 2
SET 2 440
AND 2 1
OR 2 1
AND 2 1
XOR 2 1
FLIP 2 643
XOR 2 1
XOR 2 1
AND 1 2
AND 2 1
FLIP 1 107
SET 1 263
AND 1 2
FLIP 1 862
AND 2 1
FLIP 1 926
SET 2 29
AND 2 1
XOR 1 2
AND 1 2
FLIP 1 400
XOR 1 2
XOR 1 2
FLIP 1 157
XOR 2 1
AND 2 1
SET 1 574
AND 2 1
SET 1 669
XOR 1 2
OR 2 1
XOR 2 1
OR 1 2
AND 1 2
XOR 1 2
FLIP 2 875
AND 1 2
AND 2 1
FLIP 1 704
AND 2 1
AND 1 2
SET 2 465
SET 1 393
OR 1 2
AND 1 2
XOR 1 2
AND 1 2
AND 1 2
SET 2 758
XOR 2 1
OR 2 1
SET 2 305
OR 2 1
XOR 1 2
OR 2 1
AND 1 2
FLIP 2 782
AND 1 2
AND 2 1
FLIP 2 844
FLIP 1 62
SET 2 773
OR 2 1
FLIP 1 230
AND 1 2
SET 2 678
AND 1 2
FLIP 2 59
FLIP 2 373
OR 1 2
FLIP 1 324
OR 2 1
AND 2 1
SET 2 220
SET 1 922
FLIP 1 816
AND 2 1
XOR 1 2
AND 1 2
OR 1 2
FLIP 2 473
XOR 2 1
AND 1 2
AND 2 1
OR 1 2
AND 2 1
XOR 2 1
AND 2 1
OR 2 1
OR 2 1
SET 1 845
FLIP 1 531
AND 2 1
AND 1 2
OR 2 1
OR 1 2
FLIP 2 44
SET 2 747
OR 2 1
XOR 1 2
SET 2 928
OR 1 2
SET 2 77
OR 1 2
SET 1 632
XOR 2 1
AND 2 1
FLIP 2 204
AND 1 2
XOR 2 1
FLIP 1 435
FLIP 1 596
AND 2 1
SET 2 804
FLIP 2 923
XOR 1 2
AND 1 2
FLIP 1 26
SET 2 572
FLIP 1 396
FLIP 1 364
AND 2 1
AND 1 2
AND 1 2
AND 2 1
FLIP 2 575
FLIP 2 490
AND 2 1
SET 1 90
FLIP 2 744
SET 2 122
FLIP 2 846
SET 1 135
XOR 2 1
FLIP 1 675
OR 1 2
XOR 2 1
FLIP 1 590
SET 1 495
OR 1 2
OR 1 2
FLIP 1 545
OR 2 1
SET 1 783
AND 1 2
SET 2 108
FLIP 1 902
XOR 1 2
FLIP 1 433
AND 2 1
OR 1 2
XOR 1 2
OR 2 1
XOR 2 1
FLIP 1 853
SET 1 733
FLIP 1 860
FLIP 1 523
AND 1 2
XOR 1 2
FLIP 2 55
SET 1 918
FLIP 2 805
FLIP 2 704
FLIP 2 157
FLIP 1 565
SET 1 415
SET 2 468
FLIP 2 582
AND 1 2
SET 2 495
SET 2 929
SET 1 123
OR 1 2
SET 2 536
AND 1 2
FLIP 1 599
SET 2 710
SET 2 844
FLIP 2 23
OR 2 1
FLIP 2 334
OR 1 2
SET 1 245
AND 2 1
AND 1 2
SET 2 559
SET 2 719
FLIP 2 638
AND 2 1
SET 2 286
XOR 2 1
SET 2 459
SET 1 595
FLIP 1 876
FLIP 1 660
XOR 2 1
SET 1 278
AND 1 2
AND 2 1
SET 2 777
AND 1 2
SET 2 213
XOR 1 2
SET 1 827
XOR 2 1
FLIP 1 919
FLIP 1 627
FLIP 2 14
XOR 2 1
FLIP 2 885
OR 2 1
FLIP 2 338
SET 1 808
AND 1 2
AND 2 1
AND 2 1
AND 2 1
SET 1 771
OR 1 2
FLIP 1 506
XOR 2 1
FLIP 1 459
OR 1 2
AND 1 2
AND 2 1
AND 1 2
OR 2 1
AND 1 2
XOR 1 2
SET 2 135
XOR 2 1
OR 1 2
XOR 1 2
OR 2 1
OR 1 2
XOR 1 2
FLIP 2 502
FLIP 2 35
AND 2 1
FLIP 1 252
FLIP 2 247
SET 2 897
OR 2 1
SET 2 805
FLIP 1 322
XOR 2 1
SET 2 379
AND 1 2
OR 2 1
AND 1 2
XOR 1 2
FLIP 2 224
OR 1 2
SET 1 938
FLIP 1 436
OR 2 1
SET 1 26
SET 2 645
AND 2 1
SET 2 422
SET 1 71
FLIP 2 292
AND 1 2
FLIP 2 656
XOR 1 2
XOR 1 2
SET 1 665
SET 1 603
AND 2 1
AND 2 1
AND 2 1
OR 1 2
FLIP 1 548
SET 2 775
OR 1 2
XOR 1 2
OR 2 1
SET 2 862
OR 1 2
OR 1 2
XOR 2 1
OR 2 1
SET 1 633
SET 2 715
OR 1 2
OR 2 1
OR 2 1
SET 2 456
XOR 2 1
AND 1 2
AND 1 2
SET 2 35
FLIP 1 521
SET 2 750
XOR 2 1
XOR 1 2
SET 1 5
XOR 2 1
AND 1 2
FLIP 1 584
FLIP 1 844
XOR 1 2
SET 1 373
FLIP 2 139
OR 2 1
OR 1 2
FLIP 1 779
OR 1 2
FLIP 1 33
SET 1 545
FLIP 1 836
FLIP 1 603
AND 1 2
AND 1 2
AND 2 1
XOR 2 1
SET 2 402
SET 1 832
SET 1 445
SET 1 350
AND 2 1
AND 2 1
FLIP 2 663
OR 1 2
AND 1 2
XOR 2 1
OR 2 1
FLIP 2 445
XOR 1 2
OR 1 2
AND 1 2
AND 2 1
AND 2 1
AND 1 2
XOR 1 2
OR 2 1
AND 1 2
OR 2 1
FLIP 2 473
XOR 2 1
XOR 1 2
SET 2 121
AND 1 2
AND 2 1
OR 2 1
FLIP 1 423
SET 1 270
SET 1 608
XOR 2 1
FLIP 2 187
OR 2 1
AND 2 1
XOR 2 1
OR 1 2
OR 2 1
SET 2 836
FLIP 2 236
XOR 1 2
FLIP 1 924
OR 1 2
SET 2 401
OR 2 1
FLIP 2 326
FLIP 2 926
OR 2 1
OR 1 2
AND 1 2
OR 2 1
SET 1 772
XOR 1 2
AND 2 1
AND 2 1
XOR 1 2
SET 2 647
AND 1 2
SET 2 720
FLIP 2 513
OR 2 1
FLIP 1 755
XOR 2 1
AND 2 1
OR 2 1
FLIP 1 895
OR 2 1
XOR 1 2
FLIP 2 919
FLIP 1 799
OR 2 1
AND 2 1
FLIP 2 910
SET 1 470
FLIP 2 408
FLIP 1 375
SET 1 570
FLIP 2 913
AND 2 1
FLIP 1 676
OR 1 2
OR 1 2
XOR 1 2
FLIP 2 50
OR 1 2
AND 2 1
FLIP 2 759
XOR 1 2
SET 2 772
SET 1 50
FLIP 2 402
OR 1 2
OR 2 1
FLIP 2 498
FLIP 1 174
AND 2 1
XOR 2 1
SET 2 94
SET 2 257
FLIP 1 526
OR 2 1
AND 2 1
AND 2 1
SET 2 428
SET 2 591
SET 1 813
AND 2 1
XOR 1 2
XOR 2 1
AND 2 1
AND 2 1
XOR 2 1
OR 2 1
FLIP 2 658
SET 2 411
SET 1 699
FLIP 2 856
AND 2 1
FLIP 2 142
AND 2 1
AND 1 2
FLIP 1 917
XOR 2 1
SET 1 935
FLIP 1 526
OR 2 1
AND 1 2
SET 1 732
FLIP 2 725
XOR 1 2
FLIP 1 883
FLIP 1 225
AND 1 2
XOR 2 1
AND 1 2
FLIP 2 946
SET 1 536
OR 1 2
AND 1 2
AND 1 2
XOR 1 2
XOR 1 2
SET 2 148
SET 1 753
FLIP 1 886
XOR 2 1
AND 1 2
SET 2 610
AND 2 1
OR 1 2
AND 1 2
FLIP 1 584
FLIP 1 756
AND 2 1
XOR 1 2
FLIP 2 485
XOR 2 1
AND 1 2
AND 1 2
SET 1 766
XOR 1 2
AND 2 1
AND 1 2
AND 1 2
AND 1 2
SET 1 578
AND 2 1
XOR 2 1
OR 1 2
OR 1 2
XOR 2 1
XOR 2 1
XOR 2 1
OR 2 1
AND 2 1
SET 2 746
XOR 1 2
XOR 1 2
SET 2 884
AND 2 1
XOR 1 2
AND 2 1
OR 2 1
AND 1 2
FLIP 2 800
OR 2 1
AND 1 2
AND 1 2
SET 1 743
OR 2 1
AND 2 1
SET 1 441
OR 1 2
OR 1 2
XOR 2 1
AND 1 2
AND 1 2
SET 2 929
OR 1 2
OR 2 1
AND 1 2
OR 1 2
AND 2 1
SET 1 610
AND 2 1
AND 1 2
SET 1 470
XOR 1 2
SET 1 330
FLIP 1 289
XOR 2 1
SET 2 274
FLIP 2 498
OR 2 1
AND 1 2
AND 1 2
XOR 1 2
AND 2 1
AND 2 1
SET 1 830
SET 2 755
OR 1 2
SET 2 255
FLIP 1 860
XOR 2 1
SET 1 255
FLIP 1 417
AND 1 2
XOR 2 1
FLIP 2 668
SET 2 579
XOR 2 1
OR 1 2
OR 1 2
FLIP 2 827
AND 2 1
SET 1 753
SET 1 340
AND 2 1
OR 2 1
XOR 1 2
AND 2 1
OR 1 2
SET 2 465
SET 2 906
SET 1 481
OR 1 2
OR 1 2
XOR 1 2
SET 1 796
SET 2 519
XOR 2 1
XOR 2 1
XOR 1 2
FLIP 1 253
SET 2 219
OR 1 2
XOR 1 2
XOR 1 2
AND 1 2
SET 2 244
XOR 1 2
OR 2 1
FLIP 1 418
FLIP 1 27
OR 2 1
XOR 2 1
SET 2 205
OR 1 2
AND 1 2
FLIP 1 679
OR 2 1
AND 2 1
OR 1 2
FLIP 1 212
XOR 2 1
FLIP 2 760
AND 2 1
AND 1 2
OR 1 2
XOR 2 1
FLIP 2 682
SET 2 625
OR 2 1
XOR 2 1
OR 2 1
XOR 1 2
FLIP 1 169
AND 1 2
XOR 2 1
FLIP 1 542
XOR 2 1
AND 2 1
OR 1 2
XOR 2 1
SET 1 96
FLIP 2 693
AND 1 2
AND 1 2
AND 1 2
OR 1 2
XOR 2 1
XOR 2 1
FLIP 1 529
SET 1 907
XOR 1 2
OR 2 1
SET 2 937
AND 2 1
OR 1 2
XOR 1 2
XOR 2 1
OR 2 1
XOR 2 1
XOR 1 2
XOR 1 2
SET 2 310
XOR 2 1
SET 2 424
FLIP 2 649
FLIP 1 801
AND 2 1
AND 2 1
OR 1 2
OR 2 1
AND 2 1
SET 2 479
OR 2 1
AND 1 2
FLIP 2 183
OR 1 2
XOR 2 1
SET 2 229
XOR 1 2
OR 2 1
SET 1 111
XOR 2 1
OR 2 1
FLIP 2 200
XOR 2 1
FLIP 1 276
SET 2 268
SET 2 554
AND 2 1
AND 2 1
AND 2 1
FLIP 2 550
XOR 1 2
FLIP 2 387
XOR 2 1
SET 2 791
AND 2 1
FLIP 1 328
OR 2 1
XOR 1 2
SET 1 159
SET 1 8
OR 2 1
OR 1 2
SET 1 859
OR 2 1
SET 1 877
XOR 1 2
FLIP 1 538
AND 1 2
OR 1 2
SET 1 589
AND 2 1
SET 2 370
XOR 2 1
FLIP 2 732
SET 1 750
XOR 2 1
XOR 2 1
SET 1 927
FLIP 2 808
OR 2 1
XOR 2 1
OR 2 1
FLIP 2 467
AND 2 1
SET 2 637
OR 1 2
SET 1 212
AND 2 1
AND 2 1
AND 2 1
OR 2 1
XOR 2 1
AND 2 1
OR 2 1
AND 2 1
FLIP 2 333
SET 1 162
SET 1 350
SET 2 610
SET 1 351
OR 1 2
FLIP 1 693
OR 2 1
XOR 1 2
FLIP 2 860
AND 2 1
AND 1 2
OR 1 2
SET 2 592
SET 2 750
FLIP 2 494
XOR 1 2
OR 1 2
OR 1 2
AND 1 2
SET 1 633
FLIP 1 136
SET 2 931
OR 1 2
FLIP 2 712
AND 2 1
AND 2 1
OR 1 2
OR 1 2
FLIP 2 42
OR 1 2
AND 1 2
SET 2 184
SET 1 198
FLIP 2 856
XOR 2 1
OR 2 1
SET 2 120
XOR 1 2
OR 2 1
OR 2 1
AND 2 1
OR 1 2
OR 2 1
XOR 2 1
SET 2 42
AND 2 1
OR 1 2
XOR 1 2
FLIP 1 876
FLIP 1 480
XOR 2 1
AND 1 2
XOR 1 2
SET 1 785
AND 1 2
FLIP 1 771
AND 2 1
OR 1 2
AND 1 2
SET 1 536
FLIP 1 336
FLIP 2 207
FLIP 2 3
FLIP 2 655
FLIP 1 737
FLIP 1 204
XOR 2 1
XOR 1 2
XOR 2 1
XOR 1 2
FLIP 2 280
XOR 2 1
AND 1 2
SET 1 619
SET 2 453
AND 1 2
AND 1 2
OR 2 1
OR 2 1
SET 2 54
FLIP 2 61
XOR 1 2
OR 2 1
OR 2 1
SET 2 849
AND 1 2
OR 1 2
SET 2 555
SET 2 662
SET 1 138
FLIP 2 613
OR 2 1
OR 2 1
SET 2 39
AND 1 2
SET 2 932
OR 2 1
OR 2 1
OR 2 1
OR 1 2
FLIP 2 849
AND 2 1
FLIP 1 498
AND 2 1
AND 2 1
OR 2 1
XOR 1 2
OR 2 1
FLIP 2 401
XOR 2 1
FLIP 1 683
FLIP 1 231
AND 1 2
AND 1 2
XOR 2 1
OR 2 1
FLIP 1 397
XOR 1 2
AND 1 2
SET 1 411
FLIP 1 105
AND 2 1
SET 1 536
XOR 2 1
SET 1 249
SET 1 522
FLIP 2 737
SET 2 515
SET 2 614
FLIP 1 554
SET 1 637
AND 2 1
FLIP 1 846
OR 2 1
SET 1 494
FLIP 2 562
XOR 1 2
AND 1 2
AND 2 1
SET 2 549
AND 1 2
XOR 2 1
FLIP 1 91
XOR 2 1
FLIP 1 500
OR 2 1
FLIP 1 431
FLIP 1 325
OR 2 1
AND 1 2
AND 2 1
AND 1 2
AND 2 1
SET 2 121
AND 1 2
XOR 2 1
AND 1 2
OR 1 2
OR 2 1
OR 1 2
AND 1 2
AND 1 2
XOR 1 2
FLIP 1 154
OR 2 1
AND 2 1
SET 2 349
OR 2 1
OR 1 2
AND 1 2
XOR 1 2
FLIP 2 213
AND 1 2
OR 1 2
FLIP 1 512
SET 1 905
FLIP 2 307
FLIP 1 801
AND 1 2
FLIP 1 281
AND 1 2
AND 2 1
SET 1 906
SET 2 421
AND 1 2
FLIP 1 360
AND 1 2
SET 2 588
XOR 1 2
FLIP 1 456
XOR 2 1
AND 1 2
SET 2 728
OR 2 1
OR 1 2
SET 1 49
OR 1 2
FLIP 1 544
XOR 2 1
AND 2 1
SET 2 42
SET 1 540
OR 2 1
SET 1 404
AND 1 2
XOR 1 2
SET 2 697
OR 2 1
SET 1 179
FLIP 2 933
XOR 2 1
AND 1 2
FLIP 2 344
FLIP 2 176
FLIP 2 402
SET 2 208
XOR 1 2
SET 2 110
XOR 1 2
SET 2 789
XOR 2 1
SET 1 122
FLIP 1 552
AND 1 2
FLIP 2 567
FLIP 1 47
FLIP 2 143
SET 1 389
XOR 2 1
SET 2 210
XOR 2 1
SET 2 394
OR 2 1
OR 1 2
OR 2 1
AND 1 2
XOR 1 2
FLIP 1 525
FLIP 2 861
XOR 1 2
OR 2 1
XOR 2 1
XOR 1 2
XOR 1 2
FLIP 1 929
AND 1 2
FLIP 2 453
AND 1 2
FLIP 1 279
OR 1 2
SET 2 483
SET 2 31
XOR 1 2
FLIP 2 336
OR 2 1
XOR 1 2
FLIP 2 519
SET 2 42
FLIP 1 8
XOR 1 2
AND 1 2
FLIP 2 490
FLIP 1 931
FLIP 2 185
FLIP 1 79
AND 2 1
AND 1 2
AND 2 1
FLIP 1 369
AND 2 1
XOR 2 1
FLIP 1 153
OR 1 2
OR 2 1
XOR 2 1
XOR 1 2
OR 1 2
OR 1 2
OR 2 1
XOR 2 1
AND 1 2
SET 2 61
AND 2 1
SET 1 721
SET 1 365
XOR 2 1
XOR 2 1
FLIP 1 798
FLIP 1 546
FLIP 2 765
SET 1 740
AND 1 2
AND 2 1
SET 2 268
XOR 2 1
OR 1 2
OR 2 1
AND 2 1
FLIP 2 164
AND 1 2
FLIP 1 63
SET 1 801
OR 2 1
AND 1 2
FLIP 1 558
AND 1 2
FLIP 2 488
XOR 2 1
SET 1 664
SET 1 583
XOR 1 2
XOR 1 2
AND 2 1
AND 2 1
FLIP 2 427
XOR 1 2
FLIP 2 500
OR 1 2
FLIP 2 547
AND 1 2
SET 2 611
FLIP 2 419
XOR 2 1
FLIP 1 521
SET 1 245
AND 1 2
OR 2 1
AND 1 2
SET 1 436
FLIP 1 202
FLIP 1 464
SET 1 935
FLIP 1 756
SET 2 635
OR 1 2
XOR 1 2
AND 1 2
XOR 2 1
SET 1 48
AND 1 2
FLIP 2 104
OR 1 2
XOR 1 2
OR 1 2
AND 1 2
FLIP 2 771
FLIP 1 257
FLIP 1 568
FLIP 2 687
FLIP 1 458
FLIP 1 476
XOR 2 1
AND 2 1
AND 1 2
AND 2 1
FLIP 1 449
SET 2 737
OR 2 1
OR 1 2
AND 1 2
OR 1 2
FLIP 2 547
OR 2 1
FLIP 1 901
AND 2 1
XOR 1 2
SET 2 442
AND 1 2
SET 1 570
OR 2 1
XOR 1 2
XOR 1 2
XOR 1 2
XOR 2 1
AND 1 2
XOR 1 2
AND 2 1
XOR 1 2
OR 2 1
AND 2 1
SET 1 44
XOR 1 2
AND 2 1
